name	id_staz	id_reg	lat	lon
Avigliano Lucania	S11214	15	40.714667	15.785619
Avio	S02050	9	45.733892	10.955842
Avise	S00133	4	45.706296	7.131285
Avola	S12426	14	36.907434	15.125733
Bari Centrale	S11119	16	41.11774	16.869601
Bologna C.Le	S05043	8	44.50626	11.342267
Badia Polesine	S02370	12	45.094439	11.484722
Badolato	S11841	17	38.572268	16.567646
Bagheria	S12008	14	38.089905	13.507215
Bagnacavallo	S05902	8	44.412138	11.969398
Bagnara	S11770	17	38.282695	15.800327
Bagnaria Arsa	S03123	10	45.885513	13.282026
Bagnasco	S00921	3	44.303264	8.046132
Bagni Di Lucca	S06308	13	44.003447	10.551631
Bagni Di Tivoli	S08504	5	41.949593	12.722208
Bagnoli Agnano Terme	S09102	18	40.819444	14.166694
Bagnoli Irpino	S09613	18	40.83917	15.06324
Bagnolo Mella	S01901	1	45.428532	10.183617
Baiano Di Spoleto	S07224	6	42.726238	12.663615
Baldichieri	S00460	3	44.899204	8.091198
Balestrate	S12122	14	38.053364	13.007374
Balsorano	S08856	19	41.809427	13.556546
Balvano R.	S09830	15	40.649993	15.495304
Balzola	S00178	3	45.173985	8.402174
Bandito	S00732	3	44.722075	7.819452
Baragiano	S09832	15	40.695213	15.569206
Baranello	S09458	7	41.5176	14.596314
Barbianello	S01932	1	45.07263	9.204165
Barbiano	S05905	8	44.387263	11.878086
Barbusi	S12971	20	39.203024	8.501702
Barcellona	S12041	14	38.14918	15.212499
Bardonecchia	S00202	3	45.076447	6.709959
Barga Gallicano	S06303	13	44.068114	10.451938
Bari Palese Macchie	S11118	16	41.151583	16.766902
Bari Parco Nord	S11148	16	41.123916	16.837018
Bari Parco Sud	S11125	16	41.111822	16.914736
Bari S. Spirito	S11116	16	41.159653	16.746324
Bari S.Andrea	S11513	16	41.105467	16.830255
Bari S.Giorgio	S11150	16	41.093779	16.950084
Bari Torre A Mare	S11126	16	41.082637	16.995772
Baricetta	S05419	12	45.060889	11.995348
Barile	S11208	15	40.943044	15.670959
Barletta	S11108	16	41.315227	16.278867
Baronissi	S09520	18	40.743779	14.77224
Baschi-Montecchio	S08204	6	42.68685	12.203496
Basiliano	S02832	10	46.012737	13.109233
Bassano Del Grappa	S02520	12	45.766697	11.741525
Bassano In Teverina	S08208	6	42.483551	12.333556
Bassano Romano	S08312	5	42.212444	12.152302
Bastia	S07007	6	43.07133	12.547735
Bastia Mondovi`	S00908	3	44.439398	7.891671
Battaglia Terme	S05702	12	45.291475	11.77838
Battipaglia	S09823	18	40.605789	14.98324
Bauladu Milis	S12875	20	40.020722	8.687123
Baveno	S01015	3	45.909105	8.502121
Bazzana	S00807	3	44.777094	8.401557
Beaulard	S00203	3	45.046495	6.759713
Beffi	S07422	19	42.197341	13.660759
Beinette	S00901	3	44.36782	7.644884
Belgioioso	S01864	1	45.16456	9.316875
Belgirate	S01017	3	45.843337	8.570821
Bella Muro	S09831	15	40.700914	15.542936
Bellano Tartavelle Terme	S01409	1	46.039448	9.302776
Bellante Ripattone	S07902	19	42.705775	13.837978
Bellaria	S05817	8	44.150249	12.461168
Bellavista	S11512	16	40.517077	17.176892
Bellinzago	S00985	3	45.566681	8.627652
Bellisio Solfare	S07061	11	43.520379	12.823977
Belluno	S02559	12	46.141594	12.209703
Belmonte Calabro	S11743	17	39.164427	16.064515
Belvedere Marittimo	S11732	17	39.616549	15.853039
Benevento	S09311	18	41.141901	14.769998
Benevento Arco Traiano	S09530	18	41.136834	14.777662
Benevento Porta Rufina	S09509	18	41.123564	14.784315
Berceto	S06158	8	44.555912	9.931759
Berchidda	S12859	20	40.772052	9.181312
Bergamasco	S00838	3	44.819891	8.461447
Bergamo	S01529	1	45.690271	9.675082
Bernalda	S11460	15	40.397616	16.682281
Besana	S01488	1	45.702824	9.28288
Besnate	S01145	1	45.695409	8.761072
Besozzo	S01141	1	45.842188	8.662997
Beura Cardezza	S01007	3	46.068341	8.289627
Bevera	S04482	2	43.825303	7.579157
Bevilacqua	S02391	12	45.230145	11.398643
Biagioni Lagacci	S05119	8	44.086359	10.948257
Bianco	S11855	17	38.089072	16.153348
Bianze`	S00238	3	45.309488	8.115523
Bianzone	S01438	1	46.179383	10.112507
Biassono-Lesmo Parco	S01483	1	45.632209	9.298408
Bibiana	S00522	3	44.809941	7.285727
Bicocca	S12338	14	37.460617	15.044594
Biella Chiavazza	S00970	3	45.568084	8.066787
Biella S.Paolo	S00070	3	45.557334	8.067541
Biforco	S06611	13	44.068431	11.602243
Binario S.Marco Vecchio	S06950	13	43.790336	11.267403
Bisceglie	S11113	16	41.235445	16.499484
Bistagno	S00870	3	44.659256	8.372057
Bisuschio Viggiu	S01202	1	45.870658	8.887544
Bitetto Palo Del Colle	S11501	16	41.041481	16.74053
Bivio D`Aurisina	S03313	10	45.754253	13.655777
Boccia Al Mauro	S09763	18	40.732794	14.471878
Bogliasco	S04709	2	44.379207	9.066042
Boiano	S09453	7	41.487883	14.474551
Bolgheri	S06028	13	43.244664	10.550548
Bologna Borgo Panigale	S05100	8	44.515024	11.284728
Bologna C.Le/Av	S05046	8	44.50626	11.342267
Bologna Corticella	S05725	8	44.551985	11.35401
Bologna Fiere	S05020	8	44.512742	11.368809
Bologna Mazzini	S05140	8	44.482284	11.376271
Bologna Ravone	S05042	8	44.510244	11.320029
Bologna S.Ruffillo	S05130	8	44.462657	11.372967
Bolzano 	S02026	22	46.496346	11.358556
Bolzano Novarese	S00014	3	45.759357	8.440754
Bolzano Sud 	S02226	9	46.472617	11.33334
Bonassola	S04730	2	44.184867	9.582673
Bonefro S.Croce	S09464	7	41.710522	14.860799
Bonferraro	S02383	12	45.185651	11.009247
Bonorva	S12867	20	40.417763	8.760707
Bordighera	S04503	2	43.778313	7.663504
Borghetto	S02051	9	45.696721	10.927083
Borghetto Parmense	S06100	8	44.837198	10.1177
Borghetto Santo Spirito	S04518	2	44.109006	8.242346
Borgio Verezzi	S04521	2	44.157722	8.30908
Borgo	S09526	18	40.845976	14.784092
Borgo A Buggiano	S06410	13	43.880724	10.730079
Borgo A Mozzano	S06309	13	43.977207	10.541285
Borgo Fornari Per Voltaggio	S04214	2	44.588379	8.938295
Borgo Lavezzaro	S00032	3	45.318783	8.703242
Borgo Revel	S00171	3	45.189827	8.02021
Borgo S. Lorenzo	S06604	13	43.959822	11.380422
Borgo S.L.Rimorelli	S06704	13	43.953279	11.400076
Borgo S.Martino	S00315	3	45.087083	8.520661
Borgo San Dalmazzo	S00613	3	44.326249	7.486111
Borgo Ticino	S00981	3	45.691943	8.602483
Borgo Val Di Taro	S06161	8	44.486522	9.781489
Borgo Valsugana Centro	S02313	21	46.051182	11.453967
Borgo Valsugana Est	S02314	9	46.05224	11.462119
Borgo Vercelli	S00246	3	45.359252	8.461474
Borgoforte	S02338	1	45.050328	10.752388
Borgofranco	S00152	3	45.514775	7.854612
Borgolombardo	S01830	1	45.403856	9.27111
Borgomanero	S00016	3	45.701054	8.468093
Borgone	S00210	3	45.123191	7.236037
Borgoratto	S00860	3	44.835999	8.538182
Borgosesia	S00104	3	45.716798	8.28239
Borore	S12872	20	40.218992	8.809535
Boschi S.Anna	S02390	12	45.217328	11.362302
Bosco Redole	S09452	7	41.459299	14.587884
Boscoreale	S09754	18	40.770786	14.48017
Botricello	S11829	17	38.933943	16.857433
Bova Marina	S11860	17	37.930269	15.923897
Bovalino	S11854	17	38.149087	16.180584
Bovino Deliceto	S09321	16	41.27835	15.369255
Bovolone	S02363	12	45.254446	11.123862
Bozzolo	S01920	1	45.107246	10.472655
Bra	S00821	3	44.693556	7.848643
Bracciano	S08315	5	42.103667	12.173023
Bragno	S04803	2	44.371679	8.304473
Brancaleone	S11857	17	37.965475	16.103301
Brandizzo	S00231	3	45.178915	7.841218
Breil Sur Roya	S00622	3	43.890267	7.530915
Brenna-Alzate	S01452	1	45.754044	9.183312
Brennero	S02001	22	47.004117	11.505711
Brescia	S01717	1	45.532315	10.212828
Bressana Argine	S01930	1	45.072739	9.137038
Bressana Bottarone	S01805	1	45.086298	9.110602
Bressanone	S02014	9	46.710088	11.649677
Briatico	S11757	17	38.725447	16.025765
Bricherasio	S00521	3	44.824336	7.307513
Brindisi	S11136	16	40.634339	17.938978
Brindisi Di Montagna	S11451	15	40.611991	15.955795
Brindisi Marittima	S11137	16	40.633543	17.94863
Briona	S00113	3	45.538568	8.479541
Brisighella	S06614	8	44.220565	11.769757
Brolo Ficarra	S12031	14	38.159204	14.830176
Broni	S01944	1	45.066263	9.258751
Bronzolo 	S02030	9	46.40505	11.315833
Brozolo	S00424	3	45.121299	8.05893
