key	value
dati_non_caricabili	Il server in questo momento risulta sovraccarico: i dati non possono essere caricati
cercaTrenoCerca.destinazione	Per
indietro.label	Indietro
cercaTrenoTratta.partenze	Partenze
cercaTrenoCerca.binarioEffettivoPADescrizione	Bin. reale
frecciaRossaLabel	Freccia Rossa
legenda.trenoConDeviazioni	Treno con deviazioni
programmaOrario.9_12	dalle 09:00 alle 12:00
cercaTrenoCerca.compNumeroTreno	Treno
soluzioniViaggio.soluzioniViaggioLabel	Soluzioni di viaggio
andamentoTreno.provvedimento	Provvedimenti
nessuna_corrispondenza	Nessuna corrispondenza trovata
fermate.partenzaProgrammata	Partenza Programmata 
auto	Auto
soluzioniViaggio.arrivo	Arrivo
cerca.label	Cerca
statistica_giorno	Dalla mezzanotte di oggi sulla rete ferroviaria servita da Trenitalia hanno viaggiato {{treniGiorno}} treni.
cercaTreno.datiViaggio.label	Dati di viaggio
andamentoTreno.ore	Ore
legenda.trenoConCancellazioni	Treno con cancellazioni
andamentoTreno.treno	Treno
soluzioniViaggio.durata	Durata
cercaTrenoCerca.compOrientamento	Orientamento
andamentoTreno.binarioPrev	Bin.previsto
andamentoTreno.stazioneArrivo	Stazione di Arrivo
legenda.trenoViaggiaConReg	Il treno viaggia con regolarit…
programmaOrario.error	Nessuna corrispondenza trovata
partito	Partito
cercaTreno.stazione.label	Stazione
cercaTrenoTratta.treno	Treno
tabella_soluzioniViaggio_titoletto	Da {{origine}} a {{destinazione}}
andamentoTreno.bevande	Bevane
legenda.tragittoVariato	Tragitto variato
legenda.trenoNazConRit15	Treno nazionale con ritardo > 15'
cercaTrenoCerca.indietroPulsLabel	Indietro
meteo.mattina	Mattina
newsLabel	News
cercaTrenoCerca.caricamento_in_corso	caricamento in corso...
dettaglioSoluzioniViaggio.dettaglioSoluzioniViaggio	Dettaglio soluzioni di viaggio
programmaOrario.15_18	dalle 15:00 alle 18:00 
andamentoTreno.stazionePartenza	Stazione di Partenza
andamentoTreno.partenzaProgramma	Partenza programmata
mappaCitta.consultaIlSito	Consulta il sito Trenitalia
legenda.tragittoNonPercorso	Tragitto non ancora percorso
cercaTrenoCerca.binarioProgrammatoPADescrizione	Bin. previsto
andamentoTreno.per	Per
nessun_treno_circolazione	Nessun Treno in circolazione
cercaTrenoTratta.arrivi	Arrivi
programmaOrario.soluzioni.error	Non Š stata trovata nessuna soluzione di viaggio in base alla ricerca effettuata
legenda.trenoRegConRit5	Treno regionale con ritardo > 5'
statistica_attuale	Attualmente sono in viaggio {{treniCircolanti}} treni.
programmaOrario.6	prima delle 06:00
legenda.legenda	Legenda
comeFunzionaLabel	Come Funziona
programmaOrario.9	dopo le 21
successivo	Successivo
